Location
Wind class
Hub height,80
Cutin speed,3
Cutout speed,23

Hour,Adjust power based on air density (kW),P/Pr based on air density (%)
427,814.9984305162005,27.17
428,512.9771694620455,17.1
429,257.04073417486404,8.57
430,577.3995567224812,19.25
431,628.553185963899,20.95
432,341.89173592991085,11.4
433,238.42180606010055,7.95
434,193.94032982303222,6.46
435,351.9909028933546,11.73
436,421.44085304152816,14.05
437,739.2448579653668,24.64
438,767.4692092804315,25.58
439,309.42097224174074,10.31
440,318.19203437549737,10.61
441,834.5884659723665,27.82
442,1553.7507748768621,51.79
443,1104.4019868754094,36.81
444,1652.843650632461,55.09
445,2023.8995578880533,67.46
446,1704.0119448071678,56.8
447,914.1113510266268,30.47
448,1399.5187087800966,46.65
449,629.8769300308147,21.0
450,418.5292682284971,13.95
451,810.2171141795881,27.01
452,1074.9409679008793,35.83
453,334.18233813253863,11.14
454,1232.826399939678,41.09
455,1084.333783096089,36.14
456,2525.969182124077,84.2
457,587.5545144598956,19.59
458,2004.838760578478,66.83
459,2019.1738429852746,67.31
460,2506.32959635736,83.54
461,2471.944386191669,82.4
462,2636.2979724374045,87.88
463,2570.336998341767,85.68
464,994.7906172662423,33.16
465,2017.772447725643,67.26
466,2943.4240603596886,98.11
467,2948.760912846907,98.29
468,2956.2778527151527,98.54
469,2964.906956984134,98.83
470,2977.29791249419,99.24
471,2993.5475750504966,99.78
472,3002.3962785217172,100.08
473,3014.1333868666857,100.47
474,3021.754538525868,100.73
475,3038.719006111328,101.29
476,3052.5924158860585,101.75
477,3040.5972687178237,101.35
478,3080.346421659085,102.68
479,3089.1017715128455,102.97
480,3101.3972659096803,103.38
481,3112.784002575513,103.76
482,3122.247323782633,104.07
483,3132.6259503747015,104.42
484,2386.3204855800527,79.54
485,1449.1319344906085,48.3
486,2537.9055702092605,84.6
487,2179.811097702069,72.66
488,1375.4475985390573,45.85
489,893.3080161331029,29.78
490,898.5269795547996,29.95
491,715.4304426114347,23.85
492,125.38700493107113,4.18
493,6.479779818655495,0.22
494,0.0,0.0
495,0.0,0.0
496,13.122357232080224,0.44
497,9.87927170686519,0.33
498,184.0494410017817,6.13
499,4.501878807699435,0.15
500,0.0,0.0
501,0.0,0.0
502,0.0,0.0
503,0.1668377489166178,0.01
504,3.00224873514692,0.1
505,11.159680089173728,0.37
506,173.73528746832758,5.79
507,328.3932782789709,10.95
508,1938.5275423355029,64.62
509,2179.537798190143,72.65
510,1940.151774238123,64.67
511,8.26942418023136,0.28
512,25.889905534294787,0.86
513,371.2851368540207,12.38
514,849.0418510233176,28.3
515,2358.5951421642,78.62
516,2397.678668339808,79.92
517,3114.148570615723,103.8
518,3113.55233758678,103.79
519,3087.7147095966025,102.92
520,3104.009257657876,103.47
521,3063.4662817477483,102.12
522,3151.6781065994064,105.06
523,3160.0682094325443,105.34
524,3161.6598770884825,105.39
525,3098.661948043683,103.29
526,2806.796869769879,93.56
527,3186.8755581489836,106.23
528,3193.8486023002283,106.46
529,2845.1022015251024,94.84
530,2549.2322607998085,84.97
531,2728.8059814673497,90.96
532,1271.262640449799,42.38
533,1335.215826017217,44.51
534,667.6150284148376,22.25
535,940.5707890470122,31.35
536,818.7681254116123,27.29
537,1037.0600496986613,34.57
538,1410.447083050279,47.01
539,1164.9598307829656,38.83
540,1186.070334612381,39.54
541,701.1993209538981,23.37
542,775.3811166697911,25.85
543,918.066382986886,30.6
544,1342.409316463673,44.75
545,1877.6694976325407,62.59
546,2772.547865586109,92.42
547,2225.72369511823,74.19
548,2047.2185964448431,68.24
549,1780.6123144866224,59.35
550,2011.5473523412052,67.05
551,1444.9476983957777,48.16
552,928.3584102208913,30.95
553,420.75120721457114,14.03
554,420.7406123094941,14.02
555,293.39570714243297,9.78
556,390.94740516018305,13.03
557,621.9875616108508,20.73
558,1121.9888892295437,37.4
559,1053.1774019681507,35.11
560,234.80197835514164,7.83
561,470.5021185684554,15.68
562,757.0655206898207,25.24
563,646.3059505476026,21.54
564,772.322581578086,25.74
565,671.6927784594855,22.39
566,1085.1507129875488,36.17
567,1607.3263546421633,53.58
568,2915.413502284069,97.18
569,2742.962612286618,91.43
570,3189.376423808159,106.31
571,3217.0635318738546,107.24
572,3205.933130092745,106.86
573,3195.2482004892386,106.51
574,3103.8816800437157,103.46
575,3186.906063855778,106.23
576,3178.9733731471943,105.97
577,3245.03082978212,108.17
578,3258.185280068862,108.61
579,3269.151266243904,108.97
580,3278.638593342248,109.29
581,3226.373695307748,107.55
582,3162.9772645263197,105.43
583,2685.4984295451895,89.52
584,2071.5544624545128,69.05
585,1471.4869883745482,49.05
586,438.0504085157622,14.6
587,220.68860592752418,7.36
588,225.48119187058535,7.52
589,11.502102727925578,0.38
590,11.272274929068331,0.38
591,0.0,0.0
592,0.0,0.0
593,3.4598952030053196,0.12
594,6.8870535996902955,0.23
595,3.6036476697517332,0.12
596,0.0,0.0
597,8.38022025620006,0.28
598,4.609415295887168,0.15
599,0.0,0.0
600,0.0,0.0
601,0.0,0.0
602,0.0,0.0
603,0.0,0.0
604,0.0,0.0
605,11.25839669272816,0.38
606,104.24556819913093,3.47
607,161.48733402799252,5.38
608,354.8466455679955,11.83
609,605.0372680679998,20.17
610,696.7327945333154,23.22
611,884.0907866989775,29.47
612,905.5319345778856,30.18
613,575.1011323042986,19.17
614,273.8919766230478,9.13
615,488.7429156544566,16.29
616,915.4259623582245,30.51
617,1168.061703944439,38.94
618,1611.0891089276458,53.7
619,2098.5863904462744,69.95
620,2141.9055141892673,71.4
621,2813.4192024402923,93.78
622,2499.0932891544912,83.3
623,1421.672864896201,47.39
624,1490.489452142399,49.68
625,941.4664805152697,31.38
626,589.9926375084016,19.67
627,389.51075921484664,12.98
628,321.72457903214644,10.72
629,211.49620945779662,7.05
630,421.13830016921827,14.04
631,594.8349999119541,19.83
632,496.0145755977987,16.53
633,578.9337466707275,19.3
634,1483.9807854216808,49.47
635,1298.2245767052239,43.27
636,1231.8836234842538,41.06
637,1157.8632466917475,38.6
638,1080.484048201293,36.02
639,1022.132647937179,34.07
640,909.4877273904082,30.32
641,757.9816974869507,25.27
642,637.970560331681,21.27
643,621.6621899078524,20.72
644,526.2137973809234,17.54
645,680.7282967921268,22.69
646,958.8600488445713,31.96
647,728.7628459882775,24.29
648,54.83518015169541,1.83
649,127.01648924017232,4.23
650,10.920013676183029,0.36
651,0.0,0.0
652,0.0,0.0
653,0.0,0.0
654,3.562864937397643,0.12
655,12.525493922708538,0.42
656,69.03005029940479,2.3
657,355.84245380638714,11.86
658,814.1339903300283,27.14
659,1171.3085131314601,39.04
660,1401.2855289358554,46.71
661,1690.1777869512744,56.34
662,1429.6516117266217,47.66
663,1668.3813647065444,55.61
664,1711.134109435073,57.04
665,1342.0061374320246,44.73
666,1236.6786501353572,41.22
667,1297.5293643470623,43.25
668,1493.3472900814734,49.78
669,1404.2077613430383,46.81
670,1104.1776501021377,36.81
671,645.3024888345718,21.51
672,371.0944594405459,12.37
673,184.62822745964255,6.15
674,53.529335229077724,1.78
675,7.7951118467858365,0.26
676,0.0,0.0
677,0.0,0.0
678,0.0,0.0
679,0.0,0.0
680,0.0,0.0
681,0.0,0.0
682,0.0,0.0
683,0.0,0.0
684,0.0,0.0
685,11.7948381439504,0.39
686,40.897456072416,1.36
687,52.48023685000394,1.75
688,230.15631538903514,7.67
689,584.2560419028233,19.48
690,918.0488353548857,30.6
691,1499.1672691737283,49.97
692,2189.063249399623,72.97
693,2774.441468398933,92.48
694,2532.8356615323455,84.43
695,2023.3085962522837,67.44
696,1516.8937756087935,50.56
697,1236.8720171144628,41.23
698,1198.7635333172077,39.96
699,1344.6779658717808,44.82
700,1301.0072419311416,43.37
701,1094.7151516928343,36.49
702,874.0995515565111,29.14
703,1484.1910022418906,49.47
704,1741.0797710359993,58.04
705,1390.7989929441837,46.36
706,1586.1706438330161,52.87
707,1787.6769085929302,59.59
708,1476.325887591022,49.21
709,1033.1184409142427,34.44
710,1096.892592536894,36.56
711,691.2303800939044,23.04
712,848.36430041455,28.28
713,2156.7896707430787,71.89
714,2739.061033242691,91.3
715,815.1486452481288,27.17
716,2818.255326442007,93.94
717,2786.124141442412,92.87
718,983.0942048339333,32.77
719,1594.6839550243426,53.16
720,2541.265600357543,84.71
721,1722.9110007209545,57.43
722,549.979666722959,18.33
723,2401.827049814854,80.06
724,679.5782408823104,22.65
725,2822.078142784878,94.07
726,2829.632449707764,94.32
727,1674.0049891543167,55.8
728,2293.643032136448,76.45
729,2591.060704359836,86.37
730,2870.827652355486,95.69
731,2892.595493501945,96.42
732,2917.502798187516,97.25
733,2938.5472420174033,97.95
734,2944.17457058626,98.14
735,2954.450087497372,98.48
736,2963.7706222356765,98.79
737,2976.903330081115,99.23
738,2992.9169709643634,99.76
739,2995.722060623626,99.86
740,3011.406385053949,100.38
741,2999.182862914871,99.97
742,2994.4257750971337,99.81
743,3034.4715233816814,101.15
744,3041.0043411367633,101.37
745,3047.8345458727035,101.59
746,3055.0829633555954,101.84
747,3058.0696734837347,101.94
748,3058.39303921002,101.95
749,3059.180216461781,101.97
750,3062.1157797875453,102.07
751,2924.840238848505,97.49
752,2871.488710483805,95.72
753,2492.741861303298,83.09
754,2874.6584563555084,95.82
755,2741.8928611560755,91.4
756,2538.52427356032,84.62
757,2495.57768037685,83.19
758,2620.8241608819576,87.36
759,2972.3895566726565,99.08
760,3093.6072570785095,103.12
761,3097.440283497893,103.25
762,3100.8061427518605,103.36
763,3104.291275984248,103.48
764,3111.1569986017644,103.71
765,2542.562919648272,84.75
766,2940.0416836964882,98.0
767,3128.034088029758,104.27
768,3127.4147988445384,104.25
769,3035.5050292247697,101.18
770,3133.675457149093,104.46
771,3020.891500432547,100.7
772,2727.8651633940385,90.93
773,1883.3250893951865,62.78
774,1263.944585642228,42.13
775,360.27400232174824,12.01
776,1973.3769387538623,65.78
777,1474.0902284099304,49.14
778,727.0182394357652,24.23
779,1269.210965630408,42.31
780,1217.7162774214326,40.59
781,785.3710799726512,26.18
782,498.6335680639217,16.62
783,743.8733463692571,24.8
784,941.9032742723074,31.4
785,1097.0226000936086,36.57
786,1204.1482619092799,40.14
787,1088.9082234976581,36.3
788,758.4286387183499,25.28
789,333.327002229557,11.11
790,44.91751033463497,1.5
791,3.5267122392707084,0.12
792,3.020314576807532,0.1
793,8.219390950785135,0.27
794,16.267951271958363,0.54
795,7.881067901866675,0.26
796,0.0,0.0
797,0.0,0.0
798,6.201775657637755,0.21
799,11.728187530442641,0.39
800,137.95727570950223,4.6
801,223.31968135845673,7.44
802,282.1395330067626,9.4
803,363.96732394229065,12.13
804,679.6647810952985,22.66
805,389.6743258706995,12.99
806,414.0559374141782,13.8
807,217.004330020789,7.23
808,86.94224296582811,2.9
809,16.232414390918912,0.54
810,8.920589226205667,0.3
811,10.888371197218778,0.36
812,3.6287509265821165,0.12
813,0.0,0.0
814,4.953407963313565,0.17
815,0.0,0.0
816,0.0,0.0
817,0.0,0.0
818,121.62424511705352,4.05
819,386.85583103604375,12.9
820,1214.818077059201,40.49
821,2518.039503718087,83.93
822,1712.7140485490706,57.09
823,2898.4939177829474,96.62
824,2643.5840529269162,88.12
825,1711.0402076233734,57.03
826,1624.6273869123222,54.15
827,2007.3425803910407,66.91
828,2460.3511380937684,82.01
829,2986.09026047414,99.54
830,2992.365496481725,99.75
831,3059.508557718357,101.98
832,3086.7844297652814,102.89
833,3099.9487907384128,103.33
834,3100.509917649702,103.35
835,2990.735879693705,99.69
836,2937.789595838967,97.93
837,2442.8269873540253,81.43
838,1996.5587161421774,66.55
839,2754.470551953727,91.82
840,2150.4954815102587,71.68
841,1787.3668003995488,59.58
842,1664.0301006430893,55.47
843,1177.0143757005173,39.23
844,412.9386710928473,13.76
845,238.08753670323068,7.94
846,222.896922098699,7.43
847,49.78964800409471,1.66
848,11.50471391679775,0.38
849,0.0,0.0
850,0.0,0.0
851,0.0,0.0
852,0.0,0.0
853,0.0,0.0
854,0.0,0.0
855,0.0,0.0
856,0.0,0.0
857,0.0,0.0
858,0.0,0.0
859,0.0,0.0
860,2.323227763130474,0.08
861,91.20201948862305,3.04
862,939.5660153018324,31.32
