Location,AZ
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Run lifetime simulation,0.0,0/1
Daily average solar irradiance,4.184717546768572,kWh/m2/day
Annual AC output,14244370.52939821,kWh
Annual energy,14244370.529398205,kWh
Capacity factor,13.550580792806512,%
Energy yield,1187.0308774498503,kWh/kW
Location ID,1187.0308774498503,
City,1187.0308774498503,
State,1187.0308774498503,
Latitude,43.09000015258789,deg
Longitude,-74.9000015258789,deg
Time zone,-5.0,hr
Site elevation,390.0,m
Inverter efficiency at rated power,96.0,%
Estimated number of rows in the system,200.0,
Time offset for interpreting time series outputs,0.5,hours
Estimated percent of total completed simulation,99.89726257324219,%
Capacity factor of the interconnection (year 1),0.0,%
Annual Energy AC pre-interconnection (year 1),0.0,kWh
Annual Energy AC (year 1),14244370.529398205,kWh
Annual Energy loss from interconnection limit (year 1),0.0,%
Annual Energy loss from interconnection limit (year 1),0.0,kWh
Capacity factor of the curtailment (year 1),0.0,%
Annual Energy AC pre-curtailment (year 1),14244370.529398205,kWh
Annual Energy loss from curtailment (year 1),0.0,%
Annual Energy loss from curtailment (year 1),0.0,kWh
Annual energy production as function of time,0.0,kW

Hour,System power generated (kW),Annual energy production as function of time (kW),Irradiance GHI from weather file (W/m2),Irradiance DNI from weather file (W/m2),Irradiance DHI from weather file (W/m2),Weather file ambient temperature (C),Weather file wind speed (m/s),Weather file snow depth (cm),Sun up over horizon (0/1),Shading factor for beam radiation (),Angle of incidence (deg),Plane of array irradiance (W/m2),Transmitted plane of array irradiance (W/m2),Module temperature (C),DC power loss due to snow (%),DC inverter input power (W),AC inverter output power (W),System power generated (kW),Annual energy production as function of time (kW),System power generated (kW),System power before grid interconnect (kW),System power before grid curtailment (kW)
36,3744.3607660533357,3744.3607660533357,252.0,187.0,177.0,0.0,0.8999999761581421,nan,1.0,1.0,33.57904374681039,356.6302487513887,351.4332798792177,9.725109851298441,1.0,3899265.749449435,3744360.7660533357,3744.3607660533357,3744.3607660533357,3744.3607660533357,0.0,3744.3607660533357
37,3246.7069221622237,3246.7069221622237,216.0,177.0,152.0,0.0,0.8999999761581421,nan,1.0,1.0,39.14079934152738,309.53965219177354,304.8521379956081,10.06530752341149,1.0,3386605.1334892265,3246706.9221622236,3246.7069221622237,3246.7069221622237,3246.7069221622237,0.0,3246.7069221622237
38,2791.9900688423586,2791.9900688423586,165.0,189.0,113.0,0.0,0.800000011920929,nan,1.0,1.0,48.64122091938271,265.69112690104424,261.043187306187,8.59620931582765,1.0,2918908.032784543,2791990.0688423584,2791.9900688423586,2791.9900688423586,2791.9900688423586,0.0,2791.9900688423586
39,234.7207835981786,234.7207835981786,33.0,0.0,33.0,-2.0,0.699999988079071,nan,1.0,1.0,60.21236795000278,27.678434770185678,26.564107576393678,-2.0854209450215535,1.0,301506.5401340434,234720.7835981786,234.7207835981786,234.7207835981786,234.7207835981786,0.0,234.7207835981786
40,0.0,0.0,0.0,0.0,0.0,-3.0,0.699999988079071,nan,1.0,1.0,72.52490042308528,0.0,0.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,-3.0,0.800000011920929,nan,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,-4.0,0.8999999761581421,nan,0.0,1.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,nan,0.0,1.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,-5.0,1.100000023841858,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,-5.0,1.2000000476837158,nan,0.0,1.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
