Location,AZ
Solar technology,Photovoltaic (PVWatts)

Name,Value,Unit
Run lifetime simulation,0.0,0/1
Daily average solar irradiance,6.462446720448928,kWh/m2/day
Annual AC output,5265664.882273504,kWh
Annual energy,5265664.882273505,kWh
Capacity factor,20.036776568772854,%
Energy yield,1755.2216274245018,kWh/kW
Location ID,1755.2216274245018,
City,1755.2216274245018,
State,1755.2216274245018,
Latitude,33.45000076293945,deg
Longitude,-112.05999755859375,deg
Time zone,-7.0,hr
Site elevation,321.0,m
Inverter efficiency at rated power,96.0,%
Estimated number of rows in the system,100.0,
Time offset for interpreting time series outputs,0.5,hours
Estimated percent of total completed simulation,99.89726257324219,%
Capacity factor of the interconnection (year 1),0.0,%
Annual Energy AC pre-interconnection (year 1),0.0,kWh
Annual Energy AC (year 1),5265664.882273505,kWh
Annual Energy loss from interconnection limit (year 1),0.0,%
Annual Energy loss from interconnection limit (year 1),0.0,kWh
Capacity factor of the curtailment (year 1),0.0,%
Annual Energy AC pre-curtailment (year 1),5265664.882273505,kWh
Annual Energy loss from curtailment (year 1),0.0,%
Annual Energy loss from curtailment (year 1),0.0,kWh
Annual energy production as function of time,0.0,kW

Hour,System power generated (kW),Annual energy production as function of time (kW),Irradiance GHI from weather file (W/m2),Irradiance DNI from weather file (W/m2),Irradiance DHI from weather file (W/m2),Weather file ambient temperature (C),Weather file wind speed (m/s),Weather file snow depth (cm),Sun up over horizon (0/1),Shading factor for beam radiation (),Angle of incidence (deg),Plane of array irradiance (W/m2),Transmitted plane of array irradiance (W/m2),Module temperature (C),DC power loss due to snow (%),DC inverter input power (W),AC inverter output power (W),System power generated (kW),Annual energy production as function of time (kW),System power generated (kW),System power before grid interconnect (kW),System power before grid curtailment (kW)
44,0.0,0.0,0.0,0.0,0.0,11.0,1.600000023841858,nan,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,11.0,1.899999976158142,nan,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,10.0,2.299999952316284,nan,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,9.0,2.5999999046325684,nan,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,9.0,2.5999999046325684,nan,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,9.0,2.5,nan,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,9.0,2.5,nan,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,9.0,2.5999999046325684,nan,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,8.0,2.5999999046325684,nan,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,7.0,2.4000000953674316,nan,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,7.0,2.200000047683716,nan,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,8.0,2.5,nan,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,719.1987675977597,719.1987675977597,133.0,564.0,41.0,11.0,3.5999999046325684,nan,1.0,1.0,63.25296231767808,292.9596186386822,281.85370687734115,16.86809112556574,1.0,751520.25054477,719198.7675977597,719.1987675977597,719.1987675977597,719.1987675977597,0.0,719.1987675977597
57,1467.6189681889039,1467.6189681889039,310.0,769.0,60.0,14.0,4.599999904632568,nan,1.0,1.0,50.073080947702735,579.0134208455629,578.4870150145892,24.97781848162083,1.0,1524754.0903354785,1467618.9681889038,1467.6189681889039,1467.6189681889039,1467.6189681889039,0.0,1467.6189681889039
58,1916.056553992527,1916.056553992527,457.0,862.0,71.0,17.0,4.900000095367432,nan,1.0,1.0,37.7982137965654,781.1521653896688,781.1521653896688,32.041035381324775,1.0,1991767.8202772099,1916056.5539925268,1916.056553992527,1916.056553992527,1916.056553992527,0.0,1916.056553992527
59,2136.1795828131458,2136.1795828131458,553.0,902.0,77.0,20.0,4.599999904632568,nan,1.0,1.0,27.78881879404469,897.9271927625516,897.9271927625516,38.299628501507925,1.0,2222045.519377728,2136179.5828131456,2136.1795828131458,2136.1795828131458,2136.1795828131458,0.0,2136.1795828131458
60,2218.2027808913185,2218.2027808913185,589.0,918.0,79.0,21.0,4.199999809265137,nan,1.0,1.0,23.248877071224808,945.6376174927716,945.6376174927716,41.279896347587965,1.0,2308028.8825184866,2218202.7808913183,2218.2027808913185,2218.2027808913185,2218.2027808913185,0.0,2218.2027808913185
61,1648.7754202062229,1648.7754202062229,460.0,529.0,178.0,22.0,3.9000000953674316,nan,1.0,1.0,27.099804745767365,690.3845805530751,690.3845805530751,37.51314521388849,1.0,1713076.083425822,1648775.420206223,1648.7754202062229,1648.7754202062229,1648.7754202062229,0.0,1648.7754202062229
62,1283.1754792165514,1283.1754792165514,355.0,397.0,174.0,22.0,3.5,nan,1.0,1.0,36.78658128236266,530.2588972576075,527.3535165381335,34.05426416732354,1.0,1333482.7691304868,1283175.4792165514,1283.1754792165514,1283.1754792165514,1283.1754792165514,0.0,1283.1754792165514
63,383.71533845375836,383.71533845375836,148.0,39.0,134.0,20.0,2.4000000953674316,nan,1.0,1.0,48.93542618650339,159.13090081298927,154.0426100672028,23.978541431455938,1.0,407375.93677745404,383715.33845375833,383.71533845375836,383.71533845375836,383.71533845375836,0.0,383.71533845375836
64,153.96125450632846,153.96125450632846,67.0,15.0,65.0,17.0,1.7000000476837158,nan,1.0,1.0,62.06743518192519,67.14254566071817,64.54594710286645,17.526092832040604,1.0,172554.73254112375,153961.25450632846,153.96125450632846,153.96125450632846,153.96125450632846,0.0,153.96125450632846
65,0.0,0.0,0.0,0.0,0.0,15.0,2.200000047683716,nan,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
